time,cmd_speed,cmd_steer,x,y,yaw,v_actual,yaw_rate
5255.715,2.659316062927246,0.10390590131282806,19.24578023065047,-2.1660227412507553,-0.3041577069744244,1.7629195091935665,0.2772506020042956
5255.716,2.659316062927246,0.10390590131282806,19.247461308354985,-2.166550211802943,-0.30387967492942763,1.7634896984590454,0.27709917896894826
5255.716,2.659316062927246,0.10390590131282806,19.249143079607283,-2.167077381769703,-0.3036017977816153,1.7640608125129198,0.27694412891469455
5255.718,2.659316062927246,0.10390590131282806,19.250825545375378,-2.1676042512783296,-0.30332408032701647,1.7646331271319033,0.27678430689637173
5255.719,2.659316062927246,0.10390590131282806,19.2525087068676,-2.1681308205721113,-0.3030465284572081,1.7652069040428993,0.27661861743780086
5255.72,2.659316062927246,0.10390590131282806,19.254192565517275,-2.168657090005702,-0.3027691490995989,1.7657823896553955,0.27644601998940355
5255.721,2.659316062927246,0.10390590131282806,19.25587712296785,-2.169183060042653,-0.3024919501597674,1.7663598141459573,0.276265533735257
5255.722,2.659316062927246,0.10390590131282806,19.257562381056776,-2.169708731252308,-0.30221494046043457,1.766939390463212,0.27607624183027046
5255.723,2.659316062927246,0.10390590131282806,19.25924834179793,-2.170234104303506,-0.3019381296684517,1.7675213133847472,0.2758772954827255
5255.724,2.659316062927246,0.10390590131282806,19.26093500736438,-2.1707591799602906,-0.30166152822512177,1.7681057589776028,0.27566791741657076
5255.725,2.659316062927246,0.10390590131282806,19.262622380070354,-2.1712839590777397,-0.30138514727413424,1.7686928839907363,0.2754474046954494
5255.726,2.659316062927246,0.10390590131282806,19.26431046235228,-2.1718084425944726,-0.3011089985814242,1.769282825309753,0.27521513132531245
5255.727,2.659316062927246,0.10390590131282806,19.265999256750305,-2.172332631527176,-0.30083309445688045,1.7698756997558602,0.27497055023891503
5255.727,2.659316062927246,0.10390590131282806,19.267688765889293,-2.1728565269650466,-0.30055744767603326,1.7704716038800525,0.2747131946888262
5255.728,2.659316062927246,0.10390590131282806,19.26937899245997,-2.1733801300624345,-0.30028207139710605,1.7710706138133945,0.27444267928978433
5255.73,2.659316062927246,0.10390590131282806,19.27106993919969,-2.173903442031495,-0.3000069790786722,1.771672785378876,0.2741587005760311
5255.731,2.659316062927246,0.10390590131282806,19.27276160887396,-2.174426464136208,-0.29973218439862165,1.7722781542882338,0.2738610369512299
