time,cte_signed,steer_cmd_pub,cmd_speed_pub,steer_act,yaw_rate,speed,ax,ay,az,wz,last_cmd_v,last_cmd_steer
36063.572,0.39595914355677925,-0.001100085612114964,5.499683318943452,0.004064396353961719,0.02894004969883936,4.933419164916775,0.4181918623768414,-1.1069498983338897,5.199309282812435,0.01894972431505315,5.499999999999561,-0.0005241786617971242
36063.622,0.40508463622741786,-0.020596179436925575,5.499935092457751,0.006204086178594803,0.02129834547544138,4.950922702445171,0.3937111578692537,0.5462326010678763,9.800122944411356,0.01681161812118845,5.499998035836325,-0.022762412084126753
36063.672,0.41232069037886004,-0.012825335602825724,5.499987018460424,-0.00406685410554708,-0.04588229583106294,4.926313849305977,-0.3415008615378884,1.829126044579364,21.37186259046044,-0.03714330230221305,5.4999999999610925,-0.011961908510147962
36063.722,0.41923321991138557,0.00016288883708632943,5.496839159664026,-0.010839346550158169,-0.0353609406106725,4.969465237247272,0.3372358557378272,-0.26443846130093646,9.902853721062431,-0.03430472981031351,5.496052194964927,0.0016060248859654461
36063.772,0.4252676662198883,-0.00671102933947312,5.469618890633292,-0.009470382016237178,-0.04150618144167091,4.986405792849474,0.3041175769708108,-0.27945481119030097,9.800275030247473,-0.040776314760895736,5.462813823375609,-0.007474798025757503
36063.822,0.4293033170712927,-0.005229208635779678,5.482488962917187,-0.007370434910002999,-0.05759991550854783,5.002619705105227,0.2087393838596711,-0.8062785489974883,10.054197919731184,-0.04991351559777206,5.485706480988161,-0.005064561890924852
36063.872,0.43232108818693205,-0.010304880321112694,5.492647351039323,-0.006611656681717815,-0.05679402837903849,5.0165538754345205,0.27613963758387833,0.20276083713383422,9.792931922190606,-0.0609421622746782,5.495186948069857,-0.010868843841705252
36063.922,0.4335587756917818,-0.010833563874903928,5.494536718101363,-0.007268427562285851,-0.11361236115507008,5.018633964680545,-0.25437889706035655,-0.9614847926858958,4.236655503276245,-0.11025733081885356,5.495009059866875,-0.010892306491991842
36063.972,0.43268370479713025,-0.013023566869939092,5.498566630795623,-0.008226597261923096,-0.03248184879063029,5.06281186507804,0.4853407044691345,-0.24443374038049245,6.102752807235255,-0.032524326972530854,5.499574108969188,-0.013266900536054109
36064.022,0.43080642627056087,-0.011677818123306863,5.499713326152951,-0.007150373542760491,0.06352516939960044,5.028825040977291,0.20430474911595953,3.518470356983573,9.411700354838336,0.055808213269400095,5.499999999992283,-0.01152829048479217
36064.072,0.42806097416706146,-0.01086520933413163,5.499942665230215,-0.013271861614130742,0.03093346023588606,5.0419070151926135,0.24462779654498457,-0.3010260665651808,9.799973127912708,0.033879585462395556,5.49999999999953,-0.010774919468667713
36064.122,0.42377136212807065,-0.012360770281968905,5.499988533022718,-0.013820579385394716,0.007625088174820405,5.05356290128374,0.2634207065464353,-0.25387889655395546,9.799827592142641,0.011745977476131165,5.499999999970844,-0.01252694372061749
36064.172,0.41828444680363985,-0.007214033809948977,5.49999770632632,-0.01168490619437712,-0.07073920971409023,5.065002243564747,0.26410221008699,-1.339491114764618,9.799821514890903,-0.06761308022126121,5.49999999965222,-0.006642174201946762
36064.222,0.4106084222103471,-0.009754285461553458,5.499998910073128,-0.008101885060843639,-0.009992758949766992,5.073994986162281,0.6941112889205118,-0.5981189139266028,8.277912341649175,-0.018848367840570587,5.499999211009829,-0.010036535645065067
36064.272,0.4011830508453641,-0.020713790396890322,5.499999782014454,-0.0004756496467539506,0.0028773082848607416,5.094524425542641,-0.6681076538690627,-2.1780928715794574,13.685089980379555,0.00815439912104458,5.499999999999786,-0.021931513167483305
36064.322,0.39125480503288024,-0.013530148949587407,5.499999956233263,-0.004161392690829935,-0.0591581331150639,5.058458715999274,-0.21269641126070113,-0.44225916892846917,3.9091596793969554,-0.05752808255534785,5.499999999787965,-0.012731966566553751
